nationalpark,year_2018,year_2019,year_2020,year_2021,year_2022
Bako National Park,22964,19941,7511,4313,15971
Gunung Mulu National Park,5815,5976,2090,2216,9930
Niah National Park,20226,19319,6776,5105,22587
Lambir Hills National Park,9360,10479,2437,709,6699
Similajau National Park,9652,12736,1617,9,1662
Kubah National Park,14011,10833,8567,6195,10144
Gunung Gading National Park,15707,9755,2547,2467,8547
BatangAi National Park,10,31,6,34,21
Matang Wildlife Centre,32438,25463,262,3897,9547
Semenggoh Nature Reserves,45983,46305,6818,10297,58892
Loagan Bunut National Park,382,462,723,459,622
Tanjung Datu National Park,963,922,479,295,1046
Wind Cave Nature Reserves,18193,11690,1980,49,4151
Talang Satang National Park,189,87,797,17,187
Fairy Cave Nature Reserves,17729,Under renovation,Under renovation,Under renovation,58233
Santubong National Park,22216,15508,6051,3506,5811
Maludam National Park,50,20,68,11732,20187
Sama Jaya Nature Reserves,162747,118434,72706,86364,92489
Piasau Nature Reserves,-,5995,4768,7253,8215
Bukit Sembiling,-,17834,4782,10,126
Bukit Lima,-,7036,24447,4278,11238
Kuching Wetland National Park,-,-,9,-,-
Miri-Sibuti Coral reefs National Park,-,-,1029,1261,855
TOTAL,398635,338826,156470,150470,347160
