nationalpark,year_2018,year_2019,year_2020,year_2021,year_2022
Bako National Park,40832,40406,4887,161,12794
Gunung Mulu National Park,15850,15406,2034,125,5234
Niah National Park,6210,5188,833,117,2178
Lambir Hills National Park,2450,2679,534,54,617
Similajau National Park,1823,1141,226,-,91
Kubah National Park,4873,5143,652,76,804
Gunung Gading National Park,3491,3164,279,40,889
BatangAi National Park,33,50,-,1,-
Matang Wildlife Centre,4434,4909,63,16,383
Semenggoh Nature Reserves,43255,49691,4846,350,16130
Loagan Bunut National Park,42,47,21,16,18
Tanjung Datu National Park,599,795,65,-,175
Wind Cave Nature Reserves,5150,4152,346,-,364
Talang Satang National Park,514,669,-,-,84
Fairy Cave Nature Reserves,7118,Under renovation,Under renovation,Under renovation,3181
Santubong National Park,3828,3789,654,35,705
Maludam National Park,2,8,2,0,9
Sama Jaya Nature Reserves,2492,2176,731,527,1262
Piasau Nature Reserves,-,317,60,-,15
Bukit Sembiling,-,189,41,-,-
Bukit Lima,-,-,3,-,-
Kuching Wetland National Park,-,-,1,-,-
Miri-Sibuti Coral reefs National Park,-,-,-,52,50
TOTAL,142996,139559,16278,1570,44983
