nationalpark,longitude,latitude,image,link
Bako National Park,110.46667,1.71667,images/bako_np.png,https://sarawaktourism.com/attraction/bako-national-park
Gunung Mulu National Park,114.93333,4.05,images/mulu_np.png,https://mulupark.com/
Niah National Park,113.779742,3.8158788,images/niah_np.png,https://niahnationalpark.my/
Lambir Hills National Park,114.008784,4.2039608,images/lambir_np.png,https://sarawakforestry.com/lambir-hills-national-park/
Similajau National Park,113.1554948,3.3456745,images/similajau_np.png,https://sarawakforestry.com/parks-and-reserves/similajau-national-park/
Kubah National Park,110.19701,1.61302,images/kubah_np.png,https://sarawakforestry.com/parks-and-reserves/kubah-national-park/
Gunung Gading National Park,109.84586,1.6952624,images/gununggading_np.png,https://gading.my/
BatangAi National Park,111.94781,1.22778,images/batangai_np.png,https://sarawakforestry.com/parks-and-reserves/batang-ai-national-park/
Matang Wildlife Centre,110.06635,1.59581,images/matangwildlife_np.png,https://sarawakforestry.com/parks-and-reserves/matang-wildlife-centre/
Semenggoh Nature Reserves,110.31303,1.40832,images/semenggohwildlife_np.png,https://semenggoh.my/
Loagan Bunut National Park,114.22683,3.78537,images/loaganbunut_np.png,https://sarawakforestry.com/parks-and-reserves/loagan-bunut-national-park/
Tanjung Datu National Park,109.64218,2.05566,images/tanjungdatu_np.png,https://sarawakforestry.com/parks-and-reserves/tanjung-datu-national-park/
Wind Cave Nature Reserves,110.1186,1.48021,images/windcave_np.png,https://sarawakforestry.com/parks-and-reserves/wind-cave-fairy-cave-nature-reserve/
Talang Satang National Park,110.1643,1.7843,images/talang_np.png,https://sarawakforestry.com/parks-and-reserves/talang-satang-national-park/
Fairy Cave Nature Reserves,110.133111,1.342763,images/fairycave_np.png,https://sarawakforestry.com/parks-and-reserves/wind-cave-fairy-cave-nature-reserve-2/
Santubong National Park,110.3178,1.7433,images/santubong_np.png,https://sarawakforestry.com/parks-and-reserves/santubong-national-park/
Maludam National Park,111.1414,1.5271,images/maludam_np.png,https://sarawakforestry.com/parks-and-reserves/maludam-national-park/
Sama Jaya Nature Reserves,110.3870506,1.522672532,images/samajaya_np.png,https://sarawakforestry.com/parks-and-reserves/sama-jaya-nature-reserve/
Piasau Nature Reserves,113.9971658,4.436641,images/piasau_np.png,https://piasaunaturereserve.com.my/
Bukit Sembiling,115.0064,4.77154,images/bukitsembling_np.png,https://is.wikiloc.com/hlaupaslod-slodir/trail-bukit-sembiling-91221735
Bukit Lima,111.864,2.2792,images/bukitlima_np.png,https://sarawakforestry.com/parks-and-reserves/bukit-lima-nature-reserve/
Kuching Wetland National Park,110.2519,1.6895,images/wetland_np.png,https://sarawaktourism.com/attraction/kuching-wetlands-national-park
Miri-Sibuti Coral reefs National Park,113.68745,3.94917,images/miri_np.png,https://borneotravelnetwork.com/tour-packages-sarawak-myy21-miri-fun-diving.php?code=MYY21
